CustomerID,Churn,Recency,Frequency,TotalSpent,AvgOrderValue,UniqueProducts,TotalItems,AvgDaysBetweenPurchases,AvgBasketSize,StdBasketSize,MaxBasketSize,PreferredDay,PreferredHour,CountryDiversity,CustomerLifetimeDays,PurchaseVelocity,Purchases_Last30Days,Purchases_Last60Days,Purchases_Last90Days,ProductDiversityScore,TotalUniqueProducts,AvgPricePreference,StdPricePreference,MinPrice,MaxPrice,AvgQuantityPerOrder,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,CustomerSegment
16414,0,36,2,202.72,20.272,9,96,11.222222222222221,48.0,0.0,48,3,10,1,101,0.0196078431372549,0.0,1.0,1.0,0.9,9,3.218,2.208593318029475,1.25,7.49,48.0,3,2,2,7,Potential
16415,1,26,2,468.94,4.936210526315789,75,298,0.9787234042553191,149.0,26.870057685088806,168,2,11,1,92,0.021505376344086023,1.0,1.0,1.0,0.7894736842105263,75,2.069157894736842,1.5652697838010634,0.29,7.49,149.0,3,2,3,8,Loyal
16416,0,97,1,60.0,30.0,2,48,0.0,48.0,54.98679368175796,48,1,12,1,0,1.0,0.0,0.0,0.0,1.0,2,1.25,0.5656854249492379,0.85,1.65,48.0,1,1,1,3,Lost
16419,1,20,2,263.21,7.976060606060606,28,194,2.8125,97.0,33.94112549695428,121,1,13,1,90,0.02197802197802198,1.0,1.0,1.0,0.8484848484848485,28,1.6054545454545455,0.8175844410101126,0.65,4.95,97.0,4,2,2,8,Loyal
16422,0,4,7,241.10000000000002,24.110000000000003,4,210,13.333333333333334,30.0,14.742229591663987,48,2,11,1,123,0.056451612903225805,3.0,5.0,6.0,0.4,4,1.185,0.7027920507992864,0.65,2.1,30.0,4,4,2,10,Champions
16430,0,124,1,55.2,27.6,2,16,0.0,16.0,54.98679368175796,16,2,12,1,0,1.0,0.0,0.0,0.0,1.0,2,3.95,1.4142135623730951,2.95,4.95,16.0,1,1,1,3,Lost
16434,0,60,3,355.75,12.705357142857142,22,163,2.6666666666666665,54.333333333333336,65.76726642740546,129,6,14,1,73,0.04054054054054054,0.0,0.0,1.0,0.7857142857142857,22,2.7017857142857147,1.9868308164314579,0.65,5.95,54.333333333333336,2,3,2,7,Potential
16436,1,111,3,310.64,7.965128205128205,36,226,1.6842105263157894,75.33333333333333,58.054572027819944,121,1,13,1,64,0.046153846153846156,0.0,0.0,0.0,0.9230769230769231,36,2.087948717948718,1.4104146077384467,0.42,6.75,75.33333333333333,1,3,2,6,Potential
16439,1,165,1,270.90000000000003,33.862500000000004,8,70,0.0,70.0,54.98679368175796,70,3,14,1,0,1.0,0.0,0.0,0.0,1.0,8,4.0125,1.4628128481017075,2.55,6.75,70.0,1,1,2,4,At Risk
16441,0,70,1,191.74,9.587,20,108,0.0,108.0,54.98679368175796,108,0,18,1,0,1.0,0.0,0.0,1.0,1.0,20,2.689,1.8536760064375073,0.42,6.75,108.0,2,1,2,5,At Risk
16442,1,47,2,240.68,3.342777777777778,70,133,1.7183098591549295,66.5,10.606601717798213,74,2,13,1,122,0.016260162601626018,0.0,1.0,1.0,0.9722222222222222,70,2.160555555555556,1.5267648655299182,0.42,6.75,66.5,2,2,2,6,Potential
16444,0,24,2,364.39,18.2195,19,223,2.263157894736842,111.5,132.22896808188437,205,2,14,1,43,0.045454545454545456,1.0,1.0,2.0,0.95,19,2.311,1.6408755685849392,0.42,5.95,111.5,3,2,2,7,Potential
16447,1,33,2,442.49,13.8278125,25,92,2.225806451612903,46.0,16.97056274847714,58,2,13,1,69,0.02857142857142857,0.0,1.0,1.0,0.78125,25,6.329375000000001,1.9358501299962383,1.65,7.49,46.0,3,2,3,8,Loyal
16450,1,27,2,726.05,30.25208333333333,20,223,3.0869565217391304,111.5,26.16295090390226,130,1,13,1,71,0.027777777777777776,1.0,1.0,1.0,0.8333333333333334,20,4.4695833333333335,2.523766128430781,0.85,7.49,111.5,3,2,3,8,Loyal
16451,1,4,2,736.23,14.7246,49,403,3.5510204081632653,201.5,0.7071067811865476,202,3,17,1,174,0.011428571428571429,1.0,1.0,1.0,0.98,49,2.4306,1.7920281634995332,0.65,7.49,201.5,4,2,3,9,Loyal
16452,1,73,2,332.17,18.45388888888889,14,199,3.7058823529411766,99.5,31.81980515339464,122,4,12,1,63,0.03125,0.0,0.0,1.0,0.7777777777777778,14,1.8605555555555557,1.2877315769907505,0.42,4.25,99.5,2,2,2,6,Potential
16454,1,49,2,24.05,12.025,2,6,4.0,3.0,2.8284271247461903,5,0,9,1,4,0.4,0.0,2.0,2.0,1.0,2,3.025,2.085965004500315,1.55,4.5,3.0,2,2,1,5,At Risk
16455,0,62,1,641.6,18.33142857142857,35,394,0.0,394.0,54.98679368175796,394,1,10,1,0,1.0,0.0,0.0,1.0,1.0,35,1.867142857142857,1.1199358475024401,0.85,5.95,394.0,2,1,3,6,Potential
16456,0,15,3,1259.01,10.49175,109,834,0.40336134453781514,278.0,154.2595215861893,452,0,11,1,48,0.061224489795918366,1.0,2.0,3.0,0.9083333333333333,109,2.3614166666666665,1.941871355869152,0.29,7.49,278.0,4,3,4,11,Champions
16458,0,5,1,103.25,6.453125,16,53,0.0,53.0,54.98679368175796,53,2,14,1,0,1.0,1.0,1.0,1.0,1.0,16,2.396875,1.5144271469216781,0.55,5.45,53.0,4,1,1,6,Potential
16459,1,172,1,61.35,15.3375,4,23,0.0,23.0,54.98679368175796,23,3,12,1,0,1.0,0.0,0.0,0.0,1.0,4,3.1375,1.8922539470166264,1.95,5.95,23.0,1,1,1,3,Lost
16461,1,33,2,1140.68,5.56429268292683,183,746,0.2696078431372549,373.0,79.19595949289332,429,2,13,1,55,0.03571428571428571,0.0,1.0,2.0,0.8926829268292683,183,1.9700975609756097,1.0382885570447653,0.42,5.45,373.0,3,2,4,9,Loyal
16466,0,22,3,875.61,7.548362068965518,91,455,0.5391304347826087,151.66666666666666,61.776478803289955,223,6,14,1,62,0.047619047619047616,1.0,2.0,3.0,0.7844827586206896,91,2.2823275862068964,1.641351700519301,0.42,7.5,151.66666666666666,3,3,4,10,Champions
16470,0,42,2,304.96,4.5516417910447755,59,146,1.9545454545454546,73.0,24.041630560342615,90,0,12,1,129,0.015384615384615385,0.0,1.0,1.0,0.8805970149253731,59,2.2725373134328355,1.6127196522076974,0.21,6.35,73.0,3,2,2,7,Potential
16471,0,11,2,412.53000000000003,15.27888888888889,25,295,3.230769230769231,147.5,7.7781745930520225,153,3,11,1,84,0.023529411764705882,1.0,1.0,1.0,0.9259259259259259,25,2.057037037037037,1.5723544687819522,0.55,6.75,147.5,4,2,3,9,Loyal
16472,0,40,1,305.64,16.98,18,150,0.0,150.0,54.98679368175796,150,2,11,1,0,1.0,0.0,1.0,1.0,1.0,18,2.479444444444445,1.43161970066085,0.65,5.95,150.0,3,1,2,6,Potential
16481,1,125,1,275.78000000000003,21.213846153846156,13,121,0.0,121.0,54.98679368175796,121,1,13,1,0,1.0,0.0,0.0,0.0,1.0,13,2.27,1.6633149631584112,0.85,6.36,121.0,1,1,2,4,At Risk
16485,0,36,3,1104.47,16.484626865671643,61,412,2.121212121212121,137.33333333333334,63.44551468254737,196,6,12,1,140,0.02127659574468085,0.0,1.0,1.0,0.9104477611940298,61,3.2331343283582092,2.1970036130197625,0.42,7.49,137.33333333333334,3,3,4,10,Champions
16487,1,20,2,170.65,5.171212121212122,27,122,2.53125,61.0,36.76955262170047,87,1,13,1,81,0.024390243902439025,1.0,1.0,1.0,0.8181818181818182,27,1.7242424242424241,0.9453108956284908,0.65,4.95,61.0,4,2,1,7,Potential
16493,0,66,1,250.74,7.374705882352941,33,143,0.0,143.0,54.98679368175796,143,4,13,1,0,1.0,0.0,0.0,1.0,0.9705882352941176,33,2.310882352941176,1.302111031077958,0.29,6.35,143.0,2,1,2,5,At Risk
16497,0,11,7,1426.05,16.976785714285715,71,725,2.0,103.57142857142857,79.86208349994621,221,4,10,1,167,0.041666666666666664,2.0,4.0,5.0,0.8452380952380952,71,2.7560714285714285,1.6431266242350964,0.55,6.75,103.57142857142857,4,4,4,12,Champions
16502,1,63,1,133.67,4.1771875,32,95,0.0,95.0,54.98679368175796,95,0,13,1,0,1.0,0.0,0.0,1.0,1.0,32,2.4971875,1.6501930177914768,0.42,6.75,95.0,2,1,1,4,At Risk
16507,1,15,1,132.76,3.588108108108108,36,110,0.0,110.0,54.98679368175796,110,6,12,1,0,1.0,1.0,1.0,1.0,0.972972972972973,36,1.744324324324324,1.0700844736658786,0.29,4.25,110.0,4,1,1,6,Potential
16508,1,73,1,205.5,5.1375,39,100,0.0,100.0,54.98679368175796,100,4,13,1,0,1.0,0.0,0.0,1.0,0.975,39,3.0305,1.9191891316587126,0.29,7.49,100.0,2,1,2,5,At Risk
16510,0,66,3,771.1800000000001,14.830384615384617,51,480,1.3137254901960784,160.0,128.74781551544865,304,6,12,1,68,0.043478260869565216,0.0,0.0,2.0,0.9807692307692307,51,2.5436538461538465,2.081523790301893,0.42,6.75,160.0,2,3,3,8,Loyal
16511,0,91,1,300.15,5.457272727272727,52,151,0.0,151.0,54.98679368175796,151,0,12,1,0,1.0,0.0,0.0,0.0,0.9454545454545454,52,2.515454545454545,1.6145424970397881,0.65,6.95,151.0,1,1,2,4,At Risk
16519,0,91,1,164.13,8.2065,20,69,0.0,69.0,54.98679368175796,69,0,13,1,0,1.0,0.0,0.0,0.0,1.0,20,3.4909999999999997,1.789880619365143,0.42,6.95,69.0,1,1,1,3,Lost
16520,0,32,2,525.0,5.0,98,267,0.5480769230769231,133.5,47.37615433949868,167,3,16,1,57,0.034482758620689655,0.0,1.0,1.0,0.9333333333333333,98,2.157238095238095,1.5199244004720045,0.42,6.75,133.5,3,2,3,8,Loyal
16521,0,91,1,95.12,3.8048,25,96,0.0,96.0,54.98679368175796,96,0,13,1,0,1.0,0.0,0.0,0.0,1.0,25,2.1104,1.7036663405725896,0.42,6.35,96.0,1,1,1,3,Lost
16523,0,35,3,932.98,27.44058823529412,31,366,2.757575757575758,122.0,17.776388834631177,142,0,12,1,91,0.03260869565217391,0.0,1.0,1.0,0.9117647058823529,31,3.578235294117647,2.629870915818511,0.85,7.49,122.0,3,3,4,10,Champions
16524,0,134,1,90.35000000000001,6.950000000000001,13,112,0.0,112.0,54.98679368175796,112,6,13,1,0,1.0,0.0,0.0,0.0,1.0,13,2.6523076923076925,1.9091671563195378,0.42,5.45,112.0,1,1,1,3,Lost
16525,0,6,13,1537.69,32.7168085106383,35,591,3.608695652173913,45.46153846153846,24.36738046588576,92,1,12,1,173,0.07471264367816093,2.0,3.0,5.0,0.7446808510638298,35,3.0006382978723405,2.0874255042737913,0.42,7.49,45.46153846153846,4,4,4,12,Champions
16526,1,27,1,203.75,16.979166666666668,12,125,0.0,125.0,54.98679368175796,125,1,16,1,0,1.0,1.0,1.0,1.0,1.0,12,1.9799999999999998,1.4441165906091957,0.42,5.95,125.0,3,1,2,6,Potential
16530,1,111,1,38.4,19.2,2,16,0.0,16.0,54.98679368175796,16,1,15,1,0,1.0,0.0,0.0,0.0,1.0,2,3.85,4.1012193308819755,0.95,6.75,16.0,1,1,1,3,Lost
16534,1,85,1,429.6,14.32,30,154,0.0,154.0,54.98679368175796,154,6,15,1,0,1.0,0.0,0.0,1.0,1.0,30,2.6180000000000003,1.9925281116867757,0.65,7.49,154.0,2,1,3,6,Potential
16537,1,84,1,23.35,5.8375,3,59,0.0,59.0,54.98679368175796,59,0,13,1,0,1.0,0.0,0.0,1.0,0.75,3,0.5125,0.26575364531836626,0.2,0.85,59.0,2,1,1,4,At Risk
16538,0,38,1,198.41000000000003,7.348518518518519,26,137,0.0,137.0,54.98679368175796,137,4,16,1,0,1.0,0.0,1.0,1.0,0.9629629629629629,26,1.7051851851851851,1.1024356613718498,0.42,4.95,137.0,3,1,2,6,Potential
16541,1,178,1,352.33,10.362647058823528,34,139,0.0,139.0,54.98679368175796,139,4,13,1,0,1.0,0.0,0.0,0.0,1.0,34,2.777647058823529,1.688524654253348,0.42,6.75,139.0,1,1,2,4,At Risk
16543,1,34,1,258.07,17.204666666666665,15,191,0.0,191.0,54.98679368175796,191,1,11,1,0,1.0,0.0,1.0,1.0,1.0,15,1.5726666666666667,0.797518174147297,0.42,3.95,191.0,3,1,2,6,Potential
16544,0,105,3,124.80000000000001,41.6,2,48,0.0,16.0,6.928203230275509,24,0,13,1,0,3.0,0.0,0.0,0.0,0.6666666666666666,2,3.0500000000000003,1.5588457268119895,1.25,3.95,16.0,1,3,1,5,At Risk
16548,1,42,1,17.4,3.4799999999999995,5,5,0.0,5.0,54.98679368175796,5,0,16,1,0,1.0,0.0,1.0,1.0,1.0,5,3.4799999999999995,2.0741263220932327,0.95,6.35,5.0,3,1,1,5,At Risk
16549,0,8,5,605.69,2.4227600000000002,180,364,0.21686746987951808,72.8,24.651571957990836,115,6,15,1,55,0.08928571428571429,3.0,4.0,5.0,0.72,180,1.7932000000000001,1.3700131034462613,0.29,7.49,72.8,4,4,3,11,Champions
16550,0,18,8,3344.8,12.71787072243346,135,1832,0.6068702290076335,229.0,170.23093558037985,512,3,11,1,162,0.049079754601226995,1.0,2.0,3.0,0.5133079847908745,135,2.2520152091254753,1.3773827819499107,0.21,7.49,229.0,4,4,4,12,Champions
16551,0,60,3,438.81,16.252222222222223,24,285,4.115384615384615,95.0,65.04613747179766,136,3,12,1,108,0.027522935779816515,0.0,0.0,1.0,0.8888888888888888,24,2.8685185185185187,2.4535354455023026,0.14,7.49,95.0,2,3,3,8,Loyal
16553,0,67,4,961.24,20.451914893617023,46,602,0.8695652173913043,150.5,123.90991351246544,289,2,14,1,41,0.09523809523809523,0.0,0.0,1.0,0.9787234042553191,46,1.9506382978723407,1.490156694788547,0.42,5.95,150.5,2,4,4,10,Champions
16554,0,67,2,599.29,17.122571428571426,29,311,2.9411764705882355,155.5,38.890872965260115,183,1,9,1,100,0.019801980198019802,0.0,0.0,1.0,0.8285714285714286,29,2.8162857142857143,1.8338806262296639,0.65,7.49,155.5,2,2,3,7,Potential
16556,0,26,5,2193.7400000000002,15.340839160839163,108,1344,1.0352112676056338,268.8,114.46265766615765,394,2,8,1,149,0.03333333333333333,1.0,1.0,2.0,0.7552447552447552,108,2.5865034965034965,2.0809844158648083,0.19,7.49,268.8,3,4,4,11,Champions
16558,0,36,4,1117.01,18.016290322580645,46,665,2.3278688524590163,166.25,87.44283847176966,269,1,11,1,142,0.027972027972027972,0.0,1.0,3.0,0.7419354838709677,46,2.5911290322580647,1.9661530257796962,0.42,6.75,166.25,3,4,4,11,Champions
16560,0,25,5,1422.29,15.62956043956044,69,769,1.6444444444444444,153.8,97.80695271809668,316,1,12,1,149,0.03333333333333333,1.0,1.0,2.0,0.7582417582417582,69,2.7194505494505496,1.780401554354999,0.42,6.95,153.8,3,4,4,11,Champions
16563,0,102,2,431.1,35.925000000000004,10,208,7.090909090909091,104.0,74.95331880577403,157,1,18,1,78,0.02531645569620253,0.0,0.0,0.0,0.8333333333333334,10,2.1783333333333332,1.2246025947839223,0.42,3.95,104.0,1,2,3,6,Potential
16564,1,12,1,87.80000000000001,17.560000000000002,5,40,0.0,40.0,54.98679368175796,40,2,14,1,0,1.0,1.0,1.0,1.0,1.0,5,3.29,2.4337214302380628,1.25,5.95,40.0,4,1,1,6,Potential
16569,1,74,4,446.77,24.820555555555554,17,293,5.294117647058823,73.25,28.253318389173334,104,3,15,1,92,0.043010752688172046,0.0,0.0,1.0,0.9444444444444444,17,1.97,1.5529478609481806,0.42,6.35,73.25,2,4,3,9,Loyal
16570,0,12,2,722.95,17.21309523809524,35,579,1.2195121951219512,289.5,168.99852070358486,409,1,9,1,50,0.0392156862745098,1.0,1.0,2.0,0.8333333333333334,35,1.6011904761904763,1.2239723462142962,0.55,6.95,289.5,4,2,3,9,Loyal
16571,0,6,2,689.47,17.23675,31,550,1.7435897435897436,275.0,43.840620433565945,306,3,9,1,68,0.028985507246376812,1.0,1.0,2.0,0.775,31,1.73175,1.207750372195538,0.42,4.95,275.0,4,2,3,9,Loyal
16574,0,101,1,590.91,14.412439024390244,41,409,0.0,409.0,54.98679368175796,409,4,11,1,0,1.0,0.0,0.0,0.0,1.0,41,1.9153658536585365,1.2561749431527751,0.55,6.95,409.0,1,1,3,5,At Risk
16577,1,109,1,329.0,16.45,20,136,0.0,136.0,54.98679368175796,136,3,9,1,0,1.0,0.0,0.0,0.0,1.0,20,3.6049999999999995,2.1948444375998855,1.25,6.95,136.0,1,1,2,4,At Risk
16578,1,69,1,156.6,17.4,9,108,0.0,108.0,54.98679368175796,108,1,15,1,0,1.0,0.0,0.0,1.0,1.0,9,1.4500000000000002,0.653834841531101,0.85,2.95,108.0,2,1,1,4,At Risk
16583,0,116,1,64.5,16.125,4,42,0.0,42.0,54.98679368175796,42,3,12,1,0,1.0,0.0,0.0,0.0,1.0,4,1.75,1.0,1.25,3.25,42.0,1,1,1,3,Lost
16584,0,104,1,250.78,22.798181818181817,11,162,0.0,162.0,54.98679368175796,162,1,10,1,0,1.0,0.0,0.0,0.0,1.0,11,2.0663636363636364,1.3054598632456897,0.65,4.25,162.0,1,1,2,4,At Risk
16585,1,36,2,341.59000000000003,18.977222222222224,16,151,5.9411764705882355,75.5,21.920310216782973,91,6,10,1,101,0.0196078431372549,0.0,1.0,1.0,0.8888888888888888,16,3.0822222222222226,1.9555428178432455,0.85,6.45,75.5,3,2,2,7,Potential
16586,0,78,1,192.45,38.489999999999995,5,59,0.0,59.0,54.98679368175796,59,6,11,1,0,1.0,0.0,0.0,1.0,1.0,5,3.3299999999999996,1.6068602926203635,1.25,4.95,59.0,2,1,2,5,At Risk
16588,0,17,1,36.45,18.225,2,11,0.0,11.0,54.98679368175796,11,4,13,1,0,1.0,1.0,1.0,1.0,1.0,2,3.35,0.5656854249492379,2.95,3.75,11.0,4,1,1,6,Potential
16592,0,6,4,1193.71,17.816567164179105,55,707,2.3484848484848486,176.75,67.37148259216704,251,1,13,1,157,0.02531645569620253,1.0,2.0,2.0,0.8208955223880597,55,2.341492537313433,1.6956131042150766,0.55,7.49,176.75,4,4,4,12,Champions
16593,0,162,1,10.08,10.08,1,24,0.38686131386861317,24.0,54.98679368175796,24,6,13,1,0,1.0,0.0,0.0,0.0,1.0,1,0.42,1.5993550116224886,0.42,0.42,24.0,1,1,1,3,Lost
16595,0,49,2,640.69,3.3369270833333338,172,497,0.44502617801047123,248.5,136.47160876900367,345,6,12,1,85,0.023255813953488372,0.0,1.0,1.0,0.8958333333333334,172,1.8363020833333332,1.2377142301830946,0.12,6.75,248.5,2,2,3,7,Potential
16596,0,132,2,208.83,17.4025,12,83,3.5454545454545454,41.5,20.506096654409877,56,1,12,1,39,0.05,0.0,0.0,0.0,1.0,12,3.361666666666667,1.289043573093374,1.25,4.95,41.5,1,2,2,5,At Risk
16600,0,164,1,221.45000000000002,15.817857142857145,14,137,0.0,137.0,54.98679368175796,137,4,12,1,0,1.0,0.0,0.0,0.0,1.0,14,2.1392857142857142,1.5705435819668114,0.55,5.95,137.0,1,1,2,4,At Risk
16601,0,66,1,67.25,33.625,2,45,0.0,45.0,54.98679368175796,45,4,13,1,0,1.0,0.0,0.0,1.0,1.0,2,1.5,0.07071067811865482,1.45,1.55,45.0,2,1,1,4,At Risk
16604,1,5,2,335.55,30.504545454545454,9,137,0.5,68.5,55.86143571373726,108,3,16,1,5,0.3333333333333333,2.0,2.0,2.0,0.8181818181818182,9,3.0136363636363637,2.0264613133601777,0.65,6.75,68.5,4,2,2,8,Loyal
16607,0,11,2,589.8,17.34705882352941,33,326,0.6363636363636364,163.0,66.46803743153546,210,3,17,1,21,0.09090909090909091,1.0,2.0,2.0,0.9705882352941176,33,2.6897058823529414,1.8138682677338018,0.55,6.75,163.0,4,2,3,9,Loyal
16608,0,106,1,547.65,9.1275,57,205,0.0,205.0,54.98679368175796,205,6,11,1,0,1.0,0.0,0.0,0.0,0.95,57,2.9566666666666666,1.692417453277468,0.55,6.75,205.0,1,1,3,5,At Risk
16611,0,14,3,715.59,16.641627906976744,38,374,1.5952380952380953,124.66666666666667,45.654499595695206,168,2,13,1,67,0.04411764705882353,1.0,1.0,3.0,0.8837209302325582,38,2.485813953488372,1.2499756808265539,0.85,4.95,124.66666666666667,4,3,3,10,Champions
16612,0,8,2,824.82,21.14923076923077,34,450,4.473684210526316,225.0,96.16652224137046,293,3,15,1,170,0.011695906432748537,1.0,1.0,1.0,0.8717948717948718,34,2.2356410256410255,1.3342606761637006,0.85,5.95,225.0,4,2,4,10,Champions
16614,0,21,1,293.15,29.314999999999998,10,47,0.0,47.0,54.98679368175796,47,0,15,1,0,1.0,1.0,1.0,1.0,1.0,10,6.45,1.3971399357258385,3.75,7.49,47.0,3,1,2,6,Potential
16615,1,69,1,263.8,15.51764705882353,17,209,0.0,209.0,54.98679368175796,209,1,15,1,0,1.0,0.0,0.0,1.0,1.0,17,2.0682352941176467,1.9806224883042378,0.42,6.75,209.0,2,1,2,5,At Risk
16619,0,41,2,1036.24,15.942153846153847,63,678,0.890625,339.0,162.63455967290594,454,0,12,1,57,0.034482758620689655,0.0,1.0,1.0,0.9692307692307692,63,2.122153846153846,1.5172605786289772,0.42,7.49,339.0,3,2,4,9,Loyal
16620,0,5,3,1173.96,18.06092307692308,55,712,2.734375,237.33333333333334,262.46777579987474,538,1,14,1,176,0.01694915254237288,1.0,1.0,2.0,0.8461538461538461,55,2.186,1.4947761119980476,0.42,7.49,237.33333333333334,4,3,4,11,Champions
16623,0,35,1,221.95000000000002,15.85357142857143,14,129,0.0,129.0,54.98679368175796,129,0,14,1,0,1.0,0.0,1.0,1.0,1.0,14,2.0,0.9691391898126757,0.85,3.95,129.0,3,1,2,6,Potential
16628,0,84,1,78.0,19.5,4,40,0.0,40.0,54.98679368175796,40,0,12,1,0,1.0,0.0,0.0,1.0,1.0,4,1.95,0.0,1.95,1.95,40.0,2,1,1,4,At Risk
16631,0,20,4,764.09,19.10225,32,278,1.8717948717948718,69.5,42.24136992728022,105,4,10,1,73,0.05405405405405406,2.0,3.0,3.0,0.8,32,4.08225,2.4624393653865124,0.42,7.49,69.5,4,4,3,11,Champions
16632,0,24,1,204.4,15.723076923076924,13,128,0.0,128.0,54.98679368175796,128,4,16,1,0,1.0,1.0,1.0,1.0,1.0,13,1.6192307692307693,0.45347659877994323,0.85,1.95,128.0,3,1,2,6,Potential
16634,0,63,2,483.15000000000003,16.105,29,259,2.310344827586207,129.5,77.07463914933368,184,3,9,1,67,0.029411764705882353,0.0,0.0,1.0,0.9666666666666667,29,2.7070000000000003,1.8678960134979086,0.42,6.95,129.5,2,2,3,7,Potential
16636,0,25,3,923.57,34.2062962962963,27,475,2.3846153846153846,158.33333333333334,187.58020506794776,373,2,14,1,63,0.046875,1.0,1.0,3.0,1.0,27,2.1837037037037037,1.51276402183387,0.42,6.35,158.33333333333334,3,3,4,10,Champions
16641,1,144,1,323.4,13.475,24,198,0.0,198.0,54.98679368175796,198,3,12,1,0,1.0,0.0,0.0,0.0,1.0,24,1.9812500000000002,1.0006315940227561,0.85,3.75,198.0,1,1,2,4,At Risk
16645,1,178,1,160.39,11.456428571428571,14,117,0.0,117.0,54.98679368175796,117,4,9,1,0,1.0,0.0,0.0,0.0,1.0,14,2.3814285714285717,1.90773670632489,0.22,6.35,117.0,1,1,1,3,Lost
